Well identifier	Surface	MD
202P	base_J1-3A	2715.00
202P	top_J1-3	2715.00
202P	base_J1-3	2731.40
203P	BAJ	2699.00
203P	top_J1-2	2699.60
203P	base_J1-2	2705.20
203P	top_J1-MU	2707.20
203P	base_J1-MU	2708.20
203P	top_J1-3A	2713.00
203P	base_J1-3A	2719.70
203P	top_J1-3	2719.70
203P	base_J1-3	2740.60
204P	BAJ	2695.80
204P	top_J1-2	2697.20
204P	base_J1-2	2701.80
204P	top_J1-3A	2705.60
204P	base_J1-3A	2712.20
204P	top_J1-3	2712.20
204P	base_J1-3	2732.00
205P	BAJ	2749.10
205P	top_J1-2	2750.50
205P	base_J1-2	2756.70
205P	top_J1-3A	2766.70
205P	base_J1-3A	2772.80
205P	top_J1-3	2772.80
205P	base_J1-3	2789.30
206P	BAJ	2725.60
206P	top_J1-2	2726.80
206P	base_J1-2	2732.20
206P	top_J1-3A	2740.00
206P	base_J1-3A	2748.90
206P	top_J1-3	2748.90
206P	base_J1-3	2764.00
207P	BAJ	2697.80
207P	top_J1-2	2698.60
207P	base_J1-2	2704.00
207P	top_J1-3A	2711.00
207P	base_J1-3A	2718.40
207P	top_J1-3	2718.40
207P	base_J1-3	2731.60
208P	BAJ	2680.80
208P	top_J1-2	2682.00
208P	base_J1-2	2685.40
208P	top_J1-3A	2692.00
208P	base_J1-3A	2702.00
208P	top_J1-3	2702.00
208P	base_J1-3	2715.00
209P	BAJ	2740.30
209P	top_J1-2	2743.50
209P	base_J1-2	2747.50
209P	top_J1-3A	2757.50
209P	base_J1-3A	2762.70
209P	top_J1-3	2763.50
209P	base_J1-3	2783.30
210P	BAJ	2736.10
210P	top_J1-2	2736.10
210P	base_J1-2	2737.90
210P	top_J1-3A	2743.50
210P	base_J1-3A	2754.90
210P	top_J1-3	2755.50
210P	base_J1-3	2767.70
211P	BAJ	2702.90
211P	top_J1-2	2704.10
211P	base_J1-2	2708.30
211P	top_J1-3A	2716.30
211P	base_J1-3A	2728.30
211P	top_J1-3	2728.30
211P	base_J1-3	2739.30
212P	BAJ	2699.80
212P	top_J1-2	2700.80
212P	base_J1-2	2708.00
212P	top_J1-3A	2715.80
212P	base_J1-3A	2725.20
212P	top_J1-3	2725.20
212P	base_J1-3	2733.60
213P	BAJ	2680.90
213P	top_J1-2	2682.70
213P	base_J1-2	2686.90
213P	top_J1-3A	2697.10
213P	base_J1-3A	2705.70
213P	top_J1-3	2705.70
213P	base_J1-3	2714.50
214P	BAJ	2718.30
214P	top_J1-2	2719.50
214P	base_J1-2	2723.50
214P	top_J1-3A	2732.10
214P	base_J1-3A	2739.90
214P	top_J1-3	2745.90
214P	base_J1-3	2752.70
215P	BAJ	2746.90
215P	top_J1-2	2746.90
215P	base_J1-2	2751.10
215P	top_J1-3A	2759.10
215P	base_J1-3A	2766.10
215P	top_J1-3	2766.10
215P	base_J1-3	2783.10
216P	BAJ	2730.60
216P	top_J1-2	2732.20
216P	base_J1-2	2740.40
216P	top_J1-3A	2746.40
216P	base_J1-3A	2752.20
216P	top_J1-3	2752.20
216P	base_J1-3	2765.20
218P	BAJ	2735.80
218P	top_J1-2	2737.80
218P	base_J1-2	2741.60
218P	top_J1-3A	2750.00
218P	base_J1-3A	2756.40
218P	top_J1-3	2756.40
218P	base_J1-3	2771.20
220P	BAJ	2735.20
220P	top_J1-2	2737.80
220P	base_J1-2	2741.60
220P	top_J1-3A	2748.40
220P	base_J1-3A	2754.20
220P	top_J1-3	2754.20
220P	base_J1-3	2772.20
221P	BAJ	2742.40
221P	top_J1-2	2745.40
221P	base_J1-2	2748.40
221P	top_J1-3A	2756.40
221P	base_J1-3A	2767.40
221P	top_J1-3	2767.40
221P	base_J1-3	2792.60
222P	BAJ	2725.30
222P	top_J1-2	2726.50
222P	base_J1-2	2729.50
222P	top_J1-3A	2735.70
222P	base_J1-3A	2745.10
222P	top_J1-3	2745.10
222P	base_J1-3	2768.50
223P	BAJ	2735.90
223P	top_J1-2	2738.70
223P	base_J1-2	2740.70
223P	top_J1-3A	2748.70
223P	base_J1-3A	2754.50
223P	top_J1-3	2754.50
223P	base_J1-3	2775.50
224P	BAJ	2705.00
224P	top_J1-2	2706.60
224P	base_J1-2	2711.40
224P	top_J1-3A	2720.80
224P	base_J1-3A	2731.80
224P	top_J1-3	2731.80
224P	base_J1-3	2740.80
225P	BAJ	2714.80
225P	top_J1-2	2716.40
225P	base_J1-2	2718.20
225P	top_J1-3A	2724.80
225P	base_J1-3A	2731.40
225P	top_J1-3	2731.40
225P	base_J1-3	2741.00
226P	BAJ	2735.80
226P	top_J1-2	2739.20
226P	base_J1-2	2743.80
226P	top_J1-3A	2750.00
226P	base_J1-3A	2760.40
226P	top_J1-3	2764.60
226P	base_J1-3	2766.80
227P	BAJ	2711.90
227P	top_J1-2	2714.10
227P	base_J1-2	2717.70
227P	top_J1-3A	2722.30
227P	base_J1-3A	2726.40
227P	top_J1-3	2726.40
227P	base_J1-3	2742.70
229P	BAJ	2689.60
229P	top_J1-2	2691.20
229P	base_J1-2	2694.60
229P	top_J1-3A	2700.40
229P	base_J1-3A	2710.20
229P	top_J1-3	2710.20
229P	base_J1-3	2725.80
230P	BAJ	2675.00
230P	top_J1-2	2676.20
230P	base_J1-2	2679.20
230P	top_J1-3A	2688.00
230P	base_J1-3A	2690.60
230P	top_J1-3	2690.60
230P	base_J1-3	2705.40
233P	BAJ	2725.40
233P	top_J1-2	2726.80
233P	base_J1-2	2731.20
